2026-06-15 13:00:36 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:37 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:37 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:38 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:38 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:39 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:39 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:40 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:40 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:41 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:41 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:42 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:42 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:43 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:00:44 | ERROR   | Timeout na nota 193613: 'botao_incluir_fabrica' não apareceu em 15s
2026-06-15 13:01:03 | INFO    | [1/1] Transferência: 193613
2026-06-15 13:01:03 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:04 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:04 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:05 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:05 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:06 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:06 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:07 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:07 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:08 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:08 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:09 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:09 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:10 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:10 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:11 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:11 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:12 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:12 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:13 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:13 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:14 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:14 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:15 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:15 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:16 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:16 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:17 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:17 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:18 | WARNING | Imagem não encontrada: imagens\botao_incluir_transferencia.png
2026-06-15 13:01:19 | ERROR   | Timeout na transferência 193613: 'botao_incluir_transferencia' não apareceu em 15s
2026-06-15 13:03:23 | INFO    | [1/1] Fábrica: 193613
2026-06-15 13:03:23 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:24 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:24 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:25 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:25 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:26 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:26 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:27 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:27 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:28 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:28 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:29 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:29 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:30 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:30 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:31 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:31 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:32 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:32 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:33 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:33 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:34 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:34 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:35 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:35 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:36 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:36 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:37 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:37 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:38 | WARNING | Imagem não encontrada: imagens\botao_incluir_fabrica.png
2026-06-15 13:03:38 | ERROR   | Timeout na nota 193613: 'botao_incluir_fabrica' não apareceu em 15s
2026-06-15 13:04:15 | INFO    | [1/1] Fábrica: 193613
2026-06-15 13:04:19 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:19 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:20 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:20 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:21 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:21 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:22 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:22 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:23 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:23 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:24 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:24 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:25 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:25 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:26 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:26 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:27 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
2026-06-15 13:04:27 | WARNING | Imagem não encontrada: imagens\botao_compra_fabrica.png
